2000,-97.0
4000,-88.0
6000,-99.0
8000,-100.0
10000,-86.0
12000,-87.0
14000,-76.0
16000,-81.0
18000,-93.0
20000,-74.0
22000,-90.0
24000,-92.0
26000,-52.0
28000,-47.0
30000,-83.0
32000,-100.0
34000,-83.0
36000,-99.0
38000,-74.0
40000,-54.0
42000,43.0
44000,81.0
46000,-67.0
48000,58.0
50000,-99.0
52000,-85.0
54000,-84.0
56000,74.0
58000,58.0
60000,-58.0
62000,-94.0
64000,49.0
66000,-70.0
68000,66.0
70000,-88.0
72000,-85.0
74000,-48.0
76000,-61.0
78000,-58.0
80000,66.0
82000,-68.0
84000,-72.0
86000,-54.0
88000,40.0
90000,-52.0
92000,-82.0
94000,-70.0
96000,-85.0
98000,31.0
100000,-43.0
102000,73.0
104000,-57.0
106000,-74.0
108000,-86.0
110000,93.0
112000,-97.0
114000,-91.0
116000,-61.0
118000,-66.0
120000,58.0
122000,-68.0
124000,71.0
126000,-77.0
128000,47.0
130000,-99.0
132000,75.0
134000,87.0
136000,-73.0
138000,67.0
140000,66.0
142000,81.0
144000,-76.0
146000,-62.0
148000,-76.0
150000,-80.0
152000,-33.0
154000,73.0
156000,-49.0
158000,-90.0
160000,75.0
162000,-98.0
164000,74.0
166000,-70.0
168000,-44.0
170000,34.0
172000,81.0
174000,59.0
176000,67.0
178000,-86.0
180000,82.0
182000,82.0
184000,-94.0
186000,-65.0
188000,-45.0
190000,-77.0
192000,-79.0
194000,-38.0
196000,-68.0
198000,74.0
